id,sector_name,snap_date,open,high,low,close,pct_chg,volume,amount
5644,半导体,2022-04-26,5618.205,5664.186,5372.073,5381.146,-4.0,966344100.0,29497800000.0
5645,半导体,2022-04-27,5289.665,5693.245,5273.928,5691.828,5.77,1091178920.0,35151315000.0
5646,半导体,2022-04-28,5634.148,5670.508,5514.011,5571.327,-2.12,937730090.0,31016116000.0
5647,半导体,2022-04-29,5627.342,5853.042,5603.714,5828.821,4.62,1132978460.0,36929900000.0
5648,半导体,2022-05-05,5820.817,5957.605,5800.734,5884.792,0.96,958007010.0,33513538000.0
5649,半导体,2022-05-06,5725.043,5871.679,5703.251,5791.88,-1.58,784792730.0,24271225000.0
5650,半导体,2022-05-09,5775.335,5871.717,5762.467,5797.448,0.1,644840940.0,20993899000.0
5651,半导体,2022-05-10,5720.68,6047.934,5699.0,5995.585,3.42,980533140.0,36136744000.0
5652,半导体,2022-05-11,6007.414,6309.529,6002.386,6157.297,2.7,1360404900.0,48247285000.0
5653,半导体,2022-05-12,6121.559,6279.449,6111.566,6219.672,1.01,953603040.0,32800926000.0
5654,半导体,2022-05-13,6248.306,6290.688,6173.386,6243.876,0.39,761653680.0,26075912000.0
